"","tax_name","count_change"
"1","Alistipes",1699
"2","Anaerosporobacter",-263
"3","Anaerostipes",-13014
"4","Anaerotruncus",236
"5","Bacteroides",-23212
"6","Barnesiella",-2017
"7","Bifidobacterium",-59597
"8","Bilophila",-325
"9","Blautia",41160
"10","Brachyspira",2
"11","Brevundimonas",-145
"12","Butyricimonas",3894
"13","Cellulosilyticum",-73
"14","Clostridium",-48486
"15","Collinsella",101
"16","Coprococcus",-28369
"17","Cronobacter",35900
"18","Desulfovibrio",83
"19","Dialister",-3102
"20","Dorea",-742
"21","Epulopiscium",159
"22","Eubacterium",-2712
"23","Faecalibacterium",61758
"24","Flavonifractor",159
"25","Herbaspirillum",-18
"26","Lachnospira",-8410
"27","Lactobacillus",-600
"28","Odoribacter",-2659
"29","Parabacteroides",8854
"30","Parasutterella",2771
"31","Peptococcus",169
"32","Phascolarctobacterium",753
"33","Prevotella",-114
"34","Pseudobutyrivibrio",23300
"35","Pyramidobacter",-639
"36","Roseburia",-32029
"37","Ruminococcus",-4765
"38","Sarcina",-3046
"39","Streptococcus",-2450
"40","Subdoligranulum",7822
"41","Thalassospira",7281
