"","tax_name","count_change"
"1","[Ruminococcus] obeum",43339
"2","Alistipes finegoldii",-26
"3","Alistipes onderdonkii",-7877
"4","Alistipes shahii",137
"5","Anaerostipes hadrus",-1857
"6","bacterium NLAE-zl-H54",-3763
"7","bacterium NLAE-zl-P430",143680
"8","bacterium NLAE-zl-P562",1434
"9","bacterium NLAE-zl-P827",-104
"10","Bacteroidales bacterium ph8",-2971
"11","Bacteroides massiliensis",20940
"12","Bacteroides rodentium",49
"13","Bacteroides salyersiae",-3291
"14","Bacteroides uniformis",-9607
"15","Bifidobacterium longum",-1833
"16","Bilophila wadsworthia",-1022
"17","Blautia stercoris",4926
"18","butyrate-producing bacterium A1-86",-92540
"19","Butyricimonas sp. 214-4",-114
"20","Butyricimonas sp. GD2",87
"21","Butyricimonas virosa",-2845
"22","Clostridium baratii",-5563
"23","Clostridium clostridioforme",-13973
"24","Clostridium lavalense",412
"25","Clostridium sp. MDA2315",-430
"26","Corynebacterium amycolatum",-38
"27","Cronobacter sakazakii",125078
"28","Eubacterium desmolans",996
"29","Eubacterium hallii",523
"30","Faecalibacterium prausnitzii",38934
"31","Finegoldia magna",1109
"32","Flavonifractor plautii",1571
"33","Lachnospiraceae bacterium 1_1_57FAA",7352
"34","Odoribacter splanchnicus",-1495
"35","Parabacteroides distasonis",96
"36","Parabacteroides merdae",-1633
"37","Parasutterella excrementihominis",-105
"38","Peptoniphilus indolicus",611
"39","Peptostreptococcaceae bacterium TM5",-7385
"40","Roseburia inulinivorans",7620
"41","Roseburia sp. 11SE38",2921
"42","Ruminococcus bromii",-10920
"43","Ruminococcus faecis",2105
"44","Streptococcus thermophilus",499
