"","missing.count_norm","missing.tax_name"
"1",8295,"Bifidobacterium tsurumiense"
"2",4650,"Subdoligranulum variabile"
"3",2074,"Dialister sp. oral clone BS095"
"4",780,"Desulfovibrio sp. oral clone BB161"
"5",475,"Adlercreutzia equolifaciens"
"6",459,"Ruminococcus sp. ID1"
"7",328,"Clostridiales bacterium 60-7e"
"8",305,"Tannerella sp. 6_1_58FAA_CT1"
"9",194,"[Clostridium] spiroforme"
"10",182,"Clostridium disporicum"
"11",174,"Lactobacillus paracasei"
"12",170,"Ruminococcus lactaris"
"13",170,"Parabacteroides johnsonii"
"14",146,"bacterium enrichment culture clone Ecwsrb035"
"15",142,"butyrate-producing bacterium L1-93"
"16",139,"Victivallis vadensis"
"17",135,"Pectobacterium carotovorum"
"18",123,"Lactococcus lactis"
"19",115,"Enterobacter cloacae"
"20",95,"Gordonibacter pamelaeae"
"21",87,"Oxalobacter formigenes"
"22",87,"Pantoea endophytica"
"23",67,"[Streptococcus] pleomorphus"
"24",63,"Holdemania filiformis"
"25",59,"Listeria monocytogenes"
"26",59,"Clostridium clariflavum"
"27",44,"bacterium NLAE-zl-G423"
"28",36,"Clostridium sp. YIT 12069"
"29",36,"Herbaspirillum sp. TSA30"
"30",36,"Clostridium sp. CM-C52"
"31",32,"Akkermansia muciniphila"
"32",32,"Arthrobacter crystallopoietes"
"33",32,"Ruminococcus sp. 14531"
"34",28,"Blautia sp. YHC-4"
"35",28,"Clostridiales bacterium CIEAF 022"
"36",28,"Anaerotruncus colihominis"
"37",28,"Bifidobacterium thermacidophilum"
"38",28,"Clostridium chauvoei"
"39",24,"Veillonella sp. oral clone VeillD5"
"40",24,"Eggerthella lenta"
"41",24,"Clostridium sp. NML 04A032"
"42",20,"Bifidobacterium breve"
"43",20,"Gemella haemolysans"
"44",20,"Clostridium sp. YIT 12070"
"45",20,"Corynebacterium tuberculostearicum"
"46",20,"Desulfovibrio sp. enrichment culture clone Jdgsrb034"
"47",20,"Eubacterium sp. 3_1_31"
"48",16,"Lachnospiraceae bacterium 19gly4"
"49",16,"Anaplasma marginale"
"50",16,"Lactobacillus rhamnosus"
"51",16,"bacterium NLAE-zl-H12"
"52",12,"Bifidobacterium saeculare"
"53",12,"Solobacterium moorei"
"54",12,"Streptococcus rubneri"
"55",12,"Bacteroides fluxus"
"56",12,"Coriobacteriaceae bacterium GD5"
"57",12,"bacterium NLAE-zl-G256"
"58",8,"Bacteroides fragilis"
"59",8,"Clostridium asparagiforme"
"60",8,"Bacteroides helcogenes"
"61",8,"Porphyromonas sp. oral clone BS045"
"62",8,"Clostridium sp. M62/1"
"63",8,"bacterium mpn-isolate group 25"
"64",8,"Actinobacillus porcinus"
"65",8,"Enorma massiliensis"
"66",8,"Serratia marcescens"
"67",8,"Desulfotomaculum carboxydivorans"
"68",8,"Bifidobacterium stellenboschense"
"69",8,"Bacteroides ovatus"
"70",8,"Bacillus clausii"
"71",8,"Pseudomonas sp. CB113"
"72",8,"Johnsonella ignava"
"73",8,"Clostridium symbiosum"
"74",8,"Haemophilus pittmaniae"
"75",8,"Eubacterium contortum"
"76",8,"Actinomyces odontolyticus"
"77",8,"Clostridiaceae bacterium DJF_VR07"
"78",8,"Actinomyces sp. oral clone CT047"
"79",8,"Cellulophaga lytica"
"80",8,"Herbaspirillum lusitanum"
"81",8,"Clostridium scindens"
"82",8,"Collinsella sp. GD3"
"83",8,"Lactobacillus sp. MNFS-3"
"84",8,"Peptostreptococcus stomatis"
